,t=1,t=2,t=3,t=4,t=5,t=6,t=7
0,24.77282658,26.20054593,32.51698701,28.9469305,23.61771366,17.78919605,21.06120935
1,5.857746745,5.837698558,6.345854012,4.653939852,5.724329111,4.198222303,6.299591743
2,0.947821092,0.863816916,3.543300495,1.291898235,0.619014759,0.749009233,1.433095426
3,3.491439484,3.125203094,3.798264837,3.379135264,3.468498896,3.355582557,3.217638903
4,2.235363315,2.300401721,0.624267596,1.584834415,2.240727178,2.563452942,3.409056765
5,0.867600084,1.860467763,1.573101277,1.855031413,1.586710829,1.513131589,2.658721517
6,1.469271072,3.412787892,1.221576666,1.693214039,1.333861406,1.277048805,1.993309939
7,31.85759368,65.2749376,59.865507,16.51648444,47.71010727,41.18088691,62.33707609
8,4.917875056,4.73840226,3.98333789,5.19733061,4.202181425,4.977379977,2.392286319
9,15.33849455,10.3875477,12.40937723,8.273286834,6.200441219,9.006234417,13.51606807
10,11.84727306,9.503910303,16.62805116,16.40216106,18.36127057,19.06540659,21.25179674
11,1.838050829,1.89024315,2.104528426,1.685178386,2.045761974,1.744573925,1.769003293
12,11.69323005,22.55824578,21.27937662,7.628882664,25.97823774,19.5092784,27.88092709
13,0.425320188,2.59674192,0.57572453,0.849672152,1.035875495,1.12588496,0.946257812
14,2.082542876,7.711131132,5.698491128,10.09482486,5.186731625,5.825995479,5.875694003
15,0.22697794,0.32668962,0.376253467,0.723428273,0.300018677,0.391645307,0.397582723
16,19.29527491,27.00069461,29.46930834,17.85352828,26.57647384,27.7070795,10.67621431
17,8.578021009,9.539114175,9.308038301,8.571582591,9.363405388,8.300747099,9.879380994
18,4.857673077,3.188622239,3.821396091,3.822610803,3.964892814,4.684614942,3.261021335
19,9.104997584,4.216211827,4.737411839,4.666355195,5.203901475,4.614713687,4.75106096
20,2.682962194,1.859262799,4.950303385,3.499908551,4.512366362,1.671324037,4.535194498
21,6.577461164,6.516427198,6.59092567,5.16620464,6.473950867,6.649941328,6.622786474
22,1.863609057,1.332769629,1.921886351,5.447924891,1.732360919,1.944140592,2.94861638
23,3.711697658,2.941294059,3.357331098,3.461241824,4.058059563,3.473994335,3.698890487
24,2.059370579,2.346626492,0.872587077,2.225048478,2.15301404,1.841071839,1.977883211
25,10.80955539,10.91293228,8.791881185,13.31126491,11.80830255,16.10390277,11.15666249
26,30.79145376,7.829527284,16.72793479,7.823039531,6.112004642,9.706647391,8.327973462
27,11.96987851,34.5034192,19.4808405,28.01461673,18.26588366,16.80144308,55.78394
28,2.253427063,3.127108522,2.449110349,2.95311836,3.63199217,3.09335672,3.961048245
29,7.139601651,5.951971747,6.316339324,6.724257347,7.561162547,12.41164436,8.224813867
