,t=1,t=2,t=3,t=4,t=5,t=6,t=7
0,3.018323255,9.31527082,3.469237171,6.258616589,15.10607581,10.8483467,13.97802317
1,12.40431268,16.36991925,16.99517751,65.9875956,15.14878645,19.01783823,21.39124212
2,105.7709097,22.84381604,26.83143127,113.5638369,112.3590686,25.04941441,129.4005531
3,29.91909751,16.51780999,30.29031547,32.20309865,31.17768718,30.33923268,22.22173279
4,2.27622808,10.08223996,5.786916845,26.89602235,22.55106193,6.15100187,37.64064092
5,47.1517122,127.046133,125.6115153,62.90951707,106.3909901,118.1344638,124.0337347
6,85.85063952,80.91451033,64.84039569,25.47320081,40.18788545,25.26905515,17.55967516
7,23.85984727,17.94211405,13.11911643,25.97106891,23.61620379,22.69194745,28.57987456
8,107.5575427,140.2180343,58.9826036,44.78594221,101.1311388,66.3099334,61.4480403
9,88.84357983,54.86449885,56.60990569,82.82074279,70.39471895,54.62110589,165.4238736
10,140.9623575,102.9607404,47.8477708,28.17385444,94.35406763,157.6727224,135.3855562
11,1.638842405,1.458216177,15.50059932,1.888058441,1.757413474,2.408338467,8.267665943
12,18.19091313,16.95259109,23.02132405,16.56377405,25.38061144,32.83756704,94.44492175
13,17.74256145,39.38533507,25.49707288,24.65703425,25.14578428,45.73012993,15.80170234
14,14.48686312,41.28423173,11.10945142,29.94532403,97.94330159,21.22087083,36.11807228
15,84.04823699,105.8767274,113.8227352,104.5466323,55.93169723,94.11947239,113.8749488
16,16.18959257,82.19523339,60.37244016,17.99303958,41.97768677,17.55787369,45.98711427
17,5.957998577,15.7137622,16.24158155,8.333901529,28.5077348,8.637736694,6.567019029
18,239.2396851,69.17655924,241.0920612,146.8516254,121.852673,141.7049135,306.4637508
19,26.59322024,22.33561906,86.76068219,28.68054345,73.41248396,74.24869245,85.13697988
20,11.79423884,10.38188467,9.595262006,59.97372609,14.98886964,12.34629209,10.01170542
21,1.906226997,7.829614976,10.81717132,28.1679032,21.84708919,13.98251996,6.505273952
22,89.64220034,320.6379812,155.7475905,286.2648286,160.9839279,214.0863436,456.4737285
23,14.83250268,48.15567743,26.20200183,45.7448326,18.59184168,42.19072209,25.03887335
24,8.030311847,29.84420768,19.94260778,18.10815522,9.129651732,28.16717196,7.298029551
25,47.79709835,50.63761055,91.11227997,55.83442001,48.42939087,85.68471289,175.1635606
26,17.62878291,18.90945216,20.7461621,26.33238305,23.20714361,26.81893979,28.4772685
27,127.5926285,136.9734954,120.4309001,194.2038007,198.4684352,260.521357,309.1473277
28,57.07216991,31.62934431,132.6084312,153.6572604,64.56492934,79.9401697,82.03095584
29,18.86433869,27.7862794,98.97069109,38.15376441,51.99901099,102.5258813,42.31383913
