,t=1,t=2,t=3,t=4,t=5,t=6,t=7
0,0.406165561,0.479099836,0.41483403,0.503176553,0.512834146,0.483602492,0.571988827
1,0.180059795,0.200123924,0.168669301,0.182754234,0.182329957,0.305989786,0.233085624
2,0.131546805,0.209193893,0.146675817,0.109305818,0.12905622,0.142889167,0.21421592
3,0.282255603,0.71864696,0.333021934,0.346885999,0.243974971,0.278521069,0.35642635
4,0.31426429,0.438149848,0.396355159,0.39286107,0.439006813,0.459340731,0.414156937
5,0.1803901,0.168650609,0.159875507,0.18208746,0.254528573,0.312173887,0.182357734
6,0.218517978,0.235962655,0.166442253,0.183343362,0.234117376,0.365788526,0.224427563
7,0.2684219,0.264158896,0.2942394,0.405333209,0.331724413,0.509224014,0.45243224
8,0.155709223,0.140805484,0.167027269,0.192403029,0.185532422,0.201663095,0.201151713
9,0.244333854,0.246838365,0.277687497,0.293412486,0.366278689,0.335995935,0.358005109
10,0.176860499,0.193783465,0.227535593,0.322004558,0.302518016,0.265399458,0.23234168
11,0.254708399,0.25222888,0.260722954,0.26133374,0.268252772,0.322426285,0.290524064
12,0.290746226,0.241330599,0.319214602,0.327096488,0.282031272,0.435212179,0.303053658
13,0.182080756,0.168177537,0.225217898,0.237383255,0.291054731,0.224335339,0.297817021
14,0.483961995,0.307175465,0.459878303,0.422723904,0.628146484,0.481010046,0.413848142
15,0.424911084,0.34890631,0.390897803,0.308665058,0.391034966,0.503983937,0.498587156
16,0.230765036,0.205866367,0.315404512,0.248787058,0.253846924,0.304782268,0.289945738
17,0.22908846,0.18348557,0.233763823,0.226941083,0.207873173,0.200939008,0.228499115
18,0.334564649,0.274084385,0.26730273,0.314027244,0.328752812,0.665131704,0.475423475
19,0.331813292,0.505919186,0.544974617,0.521736202,0.422917157,0.426084472,0.495103717
20,0.330556676,0.249011377,0.317910804,0.336039015,0.3025542,0.35298613,0.384947973
21,0.265454899,0.381241927,0.328516378,0.382521479,0.262868337,0.252617381,0.316545268
22,0.24959642,0.228107308,0.301748097,0.30362459,0.338924862,0.351325433,0.350835439
23,0.310520216,0.513517954,0.519843058,0.41487363,0.369049612,0.466750209,0.43888369
24,0.298421053,0.401604465,0.468510527,0.536829489,0.400726423,0.40298427,0.411942004
25,0.320862773,0.278411935,0.303555618,0.360967684,0.336487589,0.475174675,0.460941588
26,0.137860449,0.115881502,0.262612612,0.246394727,0.25497149,0.208799811,0.190823625
27,0.510741111,0.570244038,0.375687291,0.409995763,0.472362685,0.526189546,0.573700885
28,0.184140813,0.255491469,0.237529813,0.199056691,0.222835614,0.208612312,0.220692231
29,0.226840259,0.349385494,0.353941483,0.432489827,0.497127358,0.412805892,0.445964741
