root,multiAccept,sendfile,compression,noCompression,serverCache,keepalive,basicAuth,tls,ecdsaCertificate,aesTls,tlsMoreBits,tcpNoDelay,tcpNoPush,compressionLevel,performance
1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2.7486
1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,2.755
1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,2.6626
1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,2.7706
1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,2.731
1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,2.836
1,1,0,0,1,1,0,0,0,0,0,0,1,0,1,2.846
1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,2.805
1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,2.8794
1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,2.6994
1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,2.8184
1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,2.6428
1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,2.7548
1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,2.6594
1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,2.7584
1,1,1,0,1,1,0,0,0,0,0,0,1,1,1,2.7156
1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,4.568
1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,4.656
1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,4.574
1,1,0,0,1,0,0,1,0,0,0,0,1,1,1,4.6008
1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,4.5068
1,1,0,0,1,1,0,1,0,0,0,0,0,1,1,4.5588
1,1,0,0,1,1,0,1,0,0,0,0,1,0,1,4.5986
1,1,0,0,1,1,0,1,0,0,0,0,1,1,1,4.5332
1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,4.713
1,1,1,0,1,0,0,1,0,0,0,0,0,1,1,4.6136
1,1,1,0,1,0,0,1,0,0,0,0,1,0,1,4.6684
1,1,1,0,1,0,0,1,0,0,0,0,1,1,1,4.6956
1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,4.6024
1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,4.6016
1,1,1,0,1,1,0,1,0,0,0,0,1,0,1,4.674
1,1,1,0,1,1,0,1,0,0,0,0,1,1,1,4.5558
1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,4.9714
1,1,0,1,0,0,0,1,0,0,0,0,0,0,5,5.1138
1,1,0,1,0,0,0,1,0,0,0,0,0,0,9,5.2316
1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,4.9878
1,1,0,1,0,0,0,1,0,0,0,0,0,1,5,5.1834
1,1,0,1,0,0,0,1,0,0,0,0,0,1,9,5.2132
1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,5.0062
1,1,0,1,0,0,0,1,0,0,0,0,1,0,5,5.1856
1,1,0,1,0,0,0,1,0,0,0,0,1,0,9,5.2276
1,1,0,1,0,0,0,1,0,0,0,0,1,1,1,4.9906
1,1,0,1,0,0,0,1,0,0,0,0,1,1,5,5.134
1,1,0,1,0,0,0,1,0,0,0,0,1,1,9,5.1474
1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,4.9976
1,1,0,1,0,1,0,1,0,0,0,0,0,0,5,5.0712
1,1,0,1,0,1,0,1,0,0,0,0,0,0,9,5.0944
1,1,0,1,0,1,0,1,0,0,0,0,0,1,1,4.9064
1,1,0,1,0,1,0,1,0,0,0,0,0,1,5,5.0656
1,1,0,1,0,1,0,1,0,0,0,0,0,1,9,5.0492
1,1,0,1,0,1,0,1,0,0,0,0,1,0,1,4.9644
1,1,0,1,0,1,0,1,0,0,0,0,1,0,5,5.1226
1,1,0,1,0,1,0,1,0,0,0,0,1,0,9,5.123
1,1,0,1,0,1,0,1,0,0,0,0,1,1,1,4.9584
1,1,0,1,0,1,0,1,0,0,0,0,1,1,5,5.0336
1,1,0,1,0,1,0,1,0,0,0,0,1,1,9,5.104
1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,5.0264
1,1,1,1,0,0,0,1,0,0,0,0,0,0,5,5.1964
1,1,1,1,0,0,0,1,0,0,0,0,0,0,9,5.1954
1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,4.9908
1,1,1,1,0,0,0,1,0,0,0,0,0,1,5,5.1378
1,1,1,1,0,0,0,1,0,0,0,0,0,1,9,5.1528
1,1,1,1,0,0,0,1,0,0,0,0,1,0,1,4.9754
1,1,1,1,0,0,0,1,0,0,0,0,1,0,5,5.1666
1,1,1,1,0,0,0,1,0,0,0,0,1,0,9,5.1508
1,1,1,1,0,0,0,1,0,0,0,0,1,1,1,5.019
1,1,1,1,0,0,0,1,0,0,0,0,1,1,5,5.235
1,1,1,1,0,0,0,1,0,0,0,0,1,1,9,5.1404
1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,4.9144
1,1,1,1,0,1,0,1,0,0,0,0,0,0,5,5.0988
1,1,1,1,0,1,0,1,0,0,0,0,0,0,9,5.1068
1,1,1,1,0,1,0,1,0,0,0,0,0,1,1,4.992
1,1,1,1,0,1,0,1,0,0,0,0,0,1,5,5.0942
1,1,1,1,0,1,0,1,0,0,0,0,0,1,9,5.104
1,1,1,1,0,1,0,1,0,0,0,0,1,0,1,4.902
1,1,1,1,0,1,0,1,0,0,0,0,1,0,5,5.109
1,1,1,1,0,1,0,1,0,0,0,0,1,0,9,5.1002
1,1,1,1,0,1,0,1,0,0,0,0,1,1,1,4.9044
1,1,1,1,0,1,0,1,0,0,0,0,1,1,5,5.1694
1,1,1,1,0,1,0,1,0,0,0,0,1,1,9,5.0826
1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2.2802
1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,2.243
1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,2.2758
1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,2.2184
1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,2.1494
1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,2.1656
1,0,0,0,1,1,1,0,0,0,0,0,1,0,1,2.13
1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,2.2072
1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,2.3588
1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,2.2916
1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,2.3618
1,0,1,0,1,0,1,0,0,0,0,0,1,1,1,2.2904
1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,2.3494
1,0,1,0,1,1,1,0,0,0,0,0,0,1,1,2.2884
1,0,1,0,1,1,1,0,0,0,0,0,1,0,1,2.3622
1,0,1,0,1,1,1,0,0,0,0,0,1,1,1,2.2912
1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,2.2886
1,1,0,0,1,0,1,0,0,0,0,0,0,1,1,2.2994
1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,2.264
1,1,0,0,1,0,1,0,0,0,0,0,1,1,1,2.252
1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,2.1444
1,1,0,0,1,1,1,0,0,0,0,0,0,1,1,2.1674
1,1,0,0,1,1,1,0,0,0,0,0,1,0,1,2.1092
1,1,0,0,1,1,1,0,0,0,0,0,1,1,1,2.2602
1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,2.3538
1,1,1,0,1,0,1,0,0,0,0,0,0,1,1,2.291
1,1,1,0,1,0,1,0,0,0,0,0,1,0,1,2.3638
1,1,1,0,1,0,1,0,0,0,0,0,1,1,1,2.2898
1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,2.3608
1,1,1,0,1,1,1,0,0,0,0,0,0,1,1,2.2876
1,1,1,0,1,1,1,0,0,0,0,0,1,0,1,2.3672
1,1,1,0,1,1,1,0,0,0,0,0,1,1,1,2.2922
1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,4.038
1,0,0,0,1,0,1,1,0,0,0,0,0,1,1,4.0478
1,0,0,0,1,0,1,1,0,0,0,0,1,0,1,4.1804
1,0,0,0,1,0,1,1,0,0,0,0,1,1,1,4.0686
1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,3.9898
1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,4.062
1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,4.0386
1,0,0,0,1,1,1,1,0,0,0,0,1,1,1,4.0254
1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,4.336
1,0,1,0,1,0,1,1,0,0,0,0,0,1,1,4.3192
1,0,1,0,1,0,1,1,0,0,0,0,1,0,1,4.3466
1,0,1,0,1,0,1,1,0,0,0,0,1,1,1,4.216
1,0,1,0,1,1,1,1,0,0,0,0,0,0,1,4.2176
