index,NO-UPPER-ADAPT,NO-LOWER-ADAPT,NO-LOWER-HYBRID,DHDA
0,0.0258,0.0563,0.1628,0.0258
1,0.0269,0.0523,0.1096,0.0269
2,0.0255,0.0541,0.1566,0.0255
3,0.0264,0.0531,0.1349,0.026
4,0.0271,0.0585,0.1309,0.0267
5,0.0251,0.0539,0.1041,0.025
6,0.0268,0.0541,0.0679,0.0238
7,0.0268,0.0531,0.1285,0.0268
8,0.0291,0.0588,0.1466,0.029
9,0.0277,0.0527,0.0686,0.0261
10,0.0265,0.056,0.1538,0.0282
11,0.0265,0.0542,0.1075,0.0275
12,0.0286,0.0575,0.143,0.027
13,0.0267,0.0546,0.1176,0.0271
14,0.0246,0.0551,0.1658,0.0233
15,0.025,0.052,0.1746,0.025
16,0.0261,0.0543,0.1557,0.0261
17,0.0265,0.0563,0.1389,0.0271
18,0.029,0.0565,0.1806,0.027
19,0.0332,0.0562,0.106,0.0271
20,0.0274,0.0561,0.1514,0.0265
21,0.0265,0.055,0.0625,0.026
22,0.0262,0.0522,0.1227,0.0262
23,0.0289,0.0545,0.0471,0.0237
24,0.0246,0.056,0.164,0.0234
25,0.0245,0.0527,0.0826,0.0245
26,0.0265,0.0585,0.1863,0.0276
27,0.0273,0.0555,0.152,0.0272
28,0.0233,0.053,0.1352,0.0233
29,0.0274,0.0579,0.1751,0.0274
