index,NO-UPPER-ADAPT,NO-LOWER-ADAPT,NO-LOWER-HYBRID,DHDA
0,8.4166,5.7511,61.8435,7.7443
1,18.9229,44.6018,317.1179,18.9229
2,97.9084,53.4216,396.6823,45.787
3,20.3557,76.5288,26.8167,20.3557
4,9.3329,6.9319,391.7592,9.3329
5,41.5926,67.0051,92.1956,66.9462
6,58.2156,17.1587,161.9186,58.2156
7,17.2486,41.5694,7.2883,17.2486
8,80.5187,65.972,48.0797,80.5187
9,77.0699,138.4499,119.0038,76.3497
10,43.7976,59.0375,249.7782,43.7976
11,3.4518,5.3263,11.9794,3.4518
12,49.1783,44.612,210.6154,68.7128
13,28.5351,13.7137,55.1469,50.4337
14,24.9255,10.6318,39.835,15.9481
15,99.758,58.4594,27.3581,99.758
16,9.5235,37.8642,179.4415,9.5235
17,16.6274,22.2835,48.3593,8.7498
18,115.8514,113.1567,77.8822,115.8514
19,46.3861,81.262,437.3039,13.7645
20,8.3943,21.5525,89.9804,8.3943
21,24.5525,4.4577,115.6627,24.5525
22,321.7648,317.1186,346.4116,334.907
23,80.9039,133.0482,308.9973,85.5922
24,15.3197,21.28,31.2032,19.2379
25,148.4983,58.0857,68.8188,163.7318
26,31.4335,30.5806,447.2245,31.4335
27,130.9474,111.6283,538.9374,120.651
28,2.4112,39.7727,100.7026,2.3457
29,21.6495,65.6925,99.1112,21.6495
