,RF,RF-DAL,HT,HT-DAL,KNN,KNN-DAL,LR,LR-DAL
0,2.7439,0.4308,6.1064,1.2606,4.3527,0.9622,14.9135,0.9615
1,0.7691,0.1694,7.2533,0.4275,3.9042,0.3693,16.2894,0.6441
2,2.0521,0.11,5.2967,0.2694,4.6132,0.262,18.3567,0.6359
3,1.5699,0.2285,4.3935,0.5874,3.8199,0.5067,12.64,0.6819
4,0.6916,0.4365,3.5879,0.8135,3.8975,0.7954,12.5544,0.9054
5,2.1351,0.1547,9.5327,0.3276,4.7749,0.3436,18.4771,0.6478
6,1.4614,0.2088,2.0436,0.4625,3.8481,0.3682,15.6741,0.6385
7,1.7035,0.4089,5.0181,1.0713,4.3409,0.9787,15.3043,0.9364
8,0.8013,0.1469,6.5065,0.3597,4.0176,0.3565,17.8856,0.6274
9,1.4287,0.2954,4.1825,0.8207,4.2405,0.763,15.0155,0.9024
10,0.3655,0.2293,11.2371,0.5552,5.7409,0.57,24.5467,0.7162
11,1.1609,0.2768,6.4253,0.4706,3.7707,0.4269,13.427,0.6723
12,0.3743,0.3169,1.5693,0.538,3.4377,0.5897,14.4513,0.7381
13,0.5766,0.252,3.3195,0.7572,3.5651,0.6683,13.3532,0.86
14,1.5658,0.3568,6.8758,0.8425,5.5938,0.798,18.6914,0.9049
15,1.8995,0.3403,3.3287,1.0834,4.2387,1.0209,14.6631,0.9645
16,0.6382,0.214,6.9775,0.5225,4.4158,0.6073,18.5728,0.6922
17,0.6922,0.1593,3.2988,0.4154,2.2841,0.4266,8.6418,0.6759
18,0.5035,0.2891,6.072,0.5915,3.4462,0.5561,12.9778,0.722
19,0.7688,0.3945,10.0408,0.9963,6.0758,0.854,22.259,0.9501
20,2.1401,0.3174,5.7605,0.8596,4.1608,0.9159,15.7274,0.9399
21,0.3801,0.2398,5.9469,0.3962,3.308,0.384,13.1817,0.6856
22,1.0969,0.3217,6.3633,0.797,5.0875,0.8753,17.8995,0.8689
23,1.2421,0.3461,4.9349,0.7939,4.2051,0.7512,15.0962,0.941
24,3.0509,0.3429,7.1056,0.957,4.5652,0.8385,16.6206,0.9806
25,1.4786,0.3426,7.1728,0.9097,5.8405,0.8224,23.2875,0.8863
26,0.5755,0.2133,9.136,0.4677,4.415,0.3728,18.6262,0.6314
27,0.7854,0.5299,2.3706,1.0589,3.1137,1.1761,9.0596,0.9925
28,0.5443,0.2096,1.0162,0.3886,3.2006,0.3394,11.603,0.6242
29,2.481,0.4312,1.6578,1.2112,3.6024,0.9997,12.2541,0.9592
