,RF,RF-DAL,HT,HT-DAL,KNN,KNN-DAL,LR,LR-DAL
0,0.4749,0.4302,0.3731,0.3323,0.3764,0.3416,0.4556,0.5679
1,0.4538,0.3536,0.3275,0.3102,0.3285,0.3348,0.5119,0.6294
2,0.2457,0.339,0.2605,0.2669,0.309,0.2909,0.4003,0.5817
3,0.5415,0.3847,0.382,0.3196,0.3858,0.4036,0.4984,0.5909
4,0.6306,0.2323,0.3419,0.2503,0.3574,0.245,0.39,0.587
5,0.0647,0.062,0.0712,0.0615,0.0607,0.0657,0.416,0.5818
6,0.2609,0.2172,0.2093,0.1681,0.2196,0.1783,0.4343,0.6163
7,0.5958,1.954,0.5592,1.2245,0.5361,1.5088,1.6555,1.0298
8,0.1883,0.1772,0.1826,0.1577,0.1894,0.1699,0.4376,0.5596
9,0.2792,0.4985,0.2977,0.2757,0.2962,0.2997,0.4154,0.5236
10,0.3421,0.3359,0.3073,0.1952,0.3205,0.2669,0.4523,0.5937
11,0.0902,0.0923,0.0807,0.0923,0.102,0.0946,0.4351,0.5165
12,0.6832,0.7068,0.6549,0.5666,0.6504,0.5977,0.8211,0.7767
13,0.2754,0.4541,0.3318,0.3509,0.2789,0.3793,0.4993,0.6098
14,0.2486,0.3253,0.258,0.2047,0.2393,0.244,0.491,0.4895
15,1.4019,1.377,1.3737,1.1803,1.368,1.2509,1.1266,0.9548
16,0.7751,1.7305,0.7887,1.1124,0.7468,1.2399,0.7505,1.0204
17,0.1189,0.3567,0.1187,0.2343,0.1261,0.3012,0.4373,0.7197
18,1.5788,1.5495,1.543,0.9411,1.7836,1.2356,1.8629,0.8112
19,0.1558,0.2507,0.1877,0.1981,0.1971,0.2055,0.4192,0.5056
20,0.8797,0.6252,0.8685,0.619,0.8685,0.6244,0.9924,1.0994
21,0.2878,0.3242,0.3072,0.2732,0.2867,0.7367,0.4621,0.615
22,0.1062,0.1431,0.1078,0.1389,0.112,0.1459,0.5064,0.6688
23,0.452,0.4338,0.3349,0.3194,0.3538,0.3823,0.4828,0.6228
24,0.5459,0.5812,0.4804,0.3993,0.5191,0.541,0.784,0.5532
25,0.1154,0.1535,0.1154,0.148,0.1154,0.1579,0.447,0.6056
26,0.9586,0.6757,0.9521,0.581,0.9642,0.6848,0.9333,0.9098
27,0.067,0.0461,0.0564,0.0506,0.0645,0.0527,0.4014,0.6185
28,0.1584,0.3391,0.1497,0.1478,0.1539,0.2769,0.4712,0.6524
29,0.2025,0.2393,0.2725,0.2341,0.2194,0.2609,0.3931,0.609
