,RF,RF-DAL,HT,HT-DAL,KNN,KNN-DAL,LR,LR-DAL
0,21.4064,18.4115,50.6639,37.0126,40.3396,23.2339,51.372,11.2795
1,9.8225,5.1197,8.4242,14.1065,6.2886,5.6581,15.0334,12.3698
2,1.7665,1.0471,2.6438,4.0071,2.93,1.5618,3.7597,1.9704
3,11.3458,6.4642,20.7453,14.9142,5.9234,13.319,33.2706,2.474
4,3.0465,1.955,11.1903,9.9074,3.4876,3.0923,18.9966,3.2755
5,2.2468,1.7192,5.1527,6.3273,1.8132,3.6075,5.1348,6.3128
6,2.2898,0.7816,2.0102,2.0802,2.9929,2.3808,4.8447,1.4503
7,78.6953,32.3228,90.9971,45.9259,67.3674,33.8071,51.3962,27.1194
8,2.5573,0.8932,1.8748,4.5262,2.3304,2.291,2.3004,6.434
9,12.0589,5.7418,11.9921,12.206,11.2813,11.8402,15.036,6.311
10,36.536,25.5098,15.6164,21.6367,21.9383,11.9543,10.5824,16.9224
11,1.7288,3.6834,1.9998,2.3591,3.3762,4.2261,1.9279,3.1966
12,21.2992,26.4598,73.7355,53.671,36.6446,46.8321,36.547,10.4029
13,3.6983,0.8436,5.4394,5.4091,1.5505,2.5658,3.194,1.6408
14,4.0104,4.503,3.9561,6.0007,5.3431,5.6551,5.0544,3.0486
15,2.5212,0.2731,5.3422,3.9352,1.3601,0.4974,10.0649,4.065
16,30.8763,7.2724,12.9243,35.3323,23.4756,7.7645,12.5997,17.3108
17,31.8061,9.6257,17.3458,185.2782,6.0273,11.0525,38.843,8.6775
18,9.0175,5.6312,5.2441,11.5101,4.6715,6.5833,17.7097,4.5957
19,11.6161,2.4122,17.5363,6.2376,3.5964,4.2362,3.9378,3.3777
20,1.0024,0.7162,3.9891,3.0317,4.9397,2.8803,4.6822,1.7786
21,8.8813,9.5242,11.568,9.5322,9.4345,7.8709,10.7817,3.3428
22,1.4741,1.59,1.6059,2.3862,1.7803,1.9107,1.754,2.2253
23,3.2396,3.0439,4.0496,4.454,2.677,3.8629,2.7019,2.1003
24,1.8587,1.8612,14.155,3.9197,4.8967,1.2544,3.5793,4.8477
25,9.7763,4.2166,24.9972,27.6957,15.4966,13.9258,21.3198,9.3731
26,30.9866,12.1777,42.4362,18.4582,16.1277,36.0473,22.8224,19.698
27,47.3463,59.8703,26.9951,42.7681,49.1795,52.5401,46.6344,12.9223
28,2.5099,2.8954,5.0309,5.1819,4.8096,6.0314,3.4612,2.5383
29,12.1267,9.3862,20.9152,17.9175,6.5157,9.7348,28.1622,8.3999
