,RF,RF-DAL,HT,HT-DAL,KNN,KNN-DAL,LR,LR-DAL
0,64.7869,7.7443,234.9311,21.0399,13.4591,6.3574,683.9816,16.9931
1,132.7843,18.9229,207.5943,88.7728,213.6173,16.1264,798.6761,146.2239
2,68.6223,45.787,629.4411,123.5081,97.3594,56.4245,791.1904,189.3326
3,60.8813,20.3557,696.3272,9.7594,32.1853,15.2664,486.0185,5.2032
4,324.5783,9.3329,488.3725,82.8371,46.2766,5.5383,801.9237,104.2245
5,228.7486,66.9462,166.7597,124.1604,138.655,202.2825,311.1164,41.5597
6,122.4292,58.2156,685.4502,76.3042,64.1199,71.9645,868.6145,75.5759
7,159.6597,17.2486,910.9187,71.4385,144.5229,25.4442,511.894,31.8895
8,94.1185,80.5187,814.2871,149.4222,111.8154,45.3146,1134.927,140.7878
9,324.5028,76.3497,667.4131,186.6926,73.8627,161.3702,837.3669,205.5872
10,208.2247,43.7976,181.6743,35.8189,83.0368,45.2023,1029.9915,105.8023
11,5.1137,3.4518,743.9367,5.1649,10.7073,6.1585,904.6818,83.7587
12,69.121,68.7128,315.1645,258.9289,107.3284,74.009,566.6301,306.3306
13,338.4258,50.4337,946.4619,130.9977,66.1253,41.2251,696.8973,166.8034
14,55.4043,15.9481,1127.2512,141.1335,47.7673,20.1565,963.2009,188.7735
15,52.9317,99.758,226.367,102.644,191.4035,202.0627,240.7773,64.4852
16,105.9355,9.5235,618.9041,42.2938,55.6746,19.0815,798.659,99.8701
17,20.3448,8.7498,293.6341,22.7503,47.9551,7.7606,894.0123,93.976
18,479.0484,115.8514,176.2123,124.6411,397.4226,615.4015,999.4271,94.5264
19,200.4017,13.7645,447.3451,84.4718,73.4518,64.6897,590.4933,104.3016
20,96.6198,8.3943,1067.415,69.8934,14.6454,6.2372,856.1405,50.8268
21,202.5507,24.5525,821.2308,26.9543,36.2516,8.5011,913.6076,143.1358
22,332.6797,334.907,1214.2352,355.4211,298.4908,203.2211,1320.4145,324.3092
23,790.0597,85.5922,466.662,57.4369,554.0476,57.1947,1561.5323,115.7856
24,52.3559,19.2379,547.4339,31.3969,27.7902,25.9985,658.4576,136.3895
25,568.7874,163.7318,693.6886,243.2062,119.4252,379.5456,563.3321,162.4403
26,130.5599,31.4335,104.5837,132.8197,38.1935,47.7866,245.3234,154.1927
27,381.3502,120.651,699.7129,257.5737,135.262,66.0986,806.8945,161.7884
28,72.9544,2.3457,611.2667,9.392,39.2176,54.6704,943.3321,15.7801
29,395.7622,21.6495,367.4482,55.4872,253.059,29.4259,416.0729,23.3968
