,RF,RF-DAL,HT,HT-DAL,KNN,KNN-DAL,LR,LR-DAL
0,0.2024,0.0841,3.7889,0.6044,1.1153,0.4591,5.4128,1.7574
1,0.0954,0.1104,3.6388,0.5991,1.1894,0.3644,5.2255,1.6603
2,2.607,0.2314,3.3228,0.3861,1.0954,0.3521,5.639,1.6952
3,0.096,0.0939,3.3944,0.5458,1.3472,0.3961,5.1926,1.7572
4,1.6381,0.125,2.1274,0.5155,1.2217,0.3659,5.4774,1.7311
5,0.1902,0.1281,1.5186,0.4348,1.038,0.3196,5.2364,1.719
6,0.2251,0.1566,2.8271,0.2674,1.3143,0.8668,5.3052,1.6232
7,1.1492,0.0995,3.4697,0.6299,0.9913,0.4623,5.374,1.7446
8,1.0482,0.1156,0.7598,0.727,1.2248,0.3355,5.5518,1.5746
9,0.2781,0.1613,1.663,0.4048,1.111,0.5688,5.5569,1.6756
10,0.7484,0.078,1.4002,0.601,1.3654,0.4218,5.304,1.6517
11,0.4345,0.0999,3.0225,0.4363,1.1296,0.3277,5.5993,1.7066
12,1.7596,0.1083,2.5654,0.9611,1.5039,0.332,5.7102,1.6367
13,0.7199,0.1283,0.9879,0.5126,1.5403,0.3995,5.1094,1.6394
14,1.5062,0.1572,2.8536,0.6832,1.228,0.4448,5.5391,1.7156
15,0.9601,0.1672,2.1392,0.6852,1.3015,0.4224,5.4784,1.6271
16,1.8251,0.1767,3.3163,0.6105,1.3611,0.4662,5.5906,1.718
17,0.2186,0.09,4.1575,0.7427,1.1337,0.5046,5.4354,1.6696
18,1.5301,0.1079,2.3412,0.3893,1.1746,0.588,5.5364,1.6111
19,0.1234,0.0842,3.3112,0.5483,1.006,0.3102,5.2742,1.7182
20,0.133,0.1918,2.2319,0.6732,1.4787,0.5732,5.333,1.5649
21,1.8986,0.1281,2.7156,0.7667,2.1605,0.4606,5.6818,1.7173
22,0.658,0.1149,1.488,0.4509,1.1753,0.3865,5.2079,1.5944
23,0.2835,0.117,1.6504,0.5449,1.0547,0.4116,5.2939,1.5329
24,1.1191,0.1096,1.5511,0.7038,1.3287,0.544,5.3686,1.6493
25,0.3779,0.1286,1.0839,0.8249,1.1187,0.4297,5.27,1.6692
26,0.2843,0.1077,2.5214,0.5367,1.1129,0.6676,5.2133,1.6427
27,0.1059,0.0906,3.7201,0.3715,1.1197,0.3134,5.5616,1.7275
28,0.249,0.1134,3.0076,0.9402,1.852,0.3614,5.0135,1.5011
29,0.0559,0.0996,2.6607,0.5875,1.0553,0.4637,5.1381,1.6328
