,RF,RF-DAL,HT,HT-DAL,KNN,KNN-DAL,LR,LR-DAL
0,0.6099,0.2423,0.3378,0.4731,0.7733,0.5297,1.4489,0.977
1,0.5839,0.2093,0.2791,0.4975,0.7737,0.5409,1.4416,0.9823
2,0.4094,0.3524,0.3315,0.57,0.879,0.6838,1.8013,1.0221
3,0.9742,0.2409,0.3715,0.5671,0.8871,0.661,1.7308,0.9887
4,0.6373,0.2453,0.4621,0.5431,0.9117,0.6443,1.6248,0.9952
5,0.5222,0.2746,0.4208,0.5784,0.9155,0.6689,1.7434,1.0135
6,0.6843,0.2382,0.4031,0.593,0.9151,0.5769,1.8789,0.9716
7,0.3867,0.218,0.3504,0.4911,0.7816,0.5271,1.5015,0.9844
8,0.417,0.2406,0.297,0.5273,0.9917,0.6928,1.7279,1.0254
9,0.3691,0.2456,0.4148,0.4303,0.8743,0.5875,1.6027,1.0118
10,0.3641,0.2333,0.331,0.5092,0.7956,0.4928,1.4593,0.988
11,0.4451,0.226,0.4707,0.5366,0.9197,0.6271,1.5319,1.0062
12,0.6255,0.2753,0.3646,0.6473,0.8414,0.6478,1.6908,0.9685
13,0.4188,0.2465,0.3485,0.5852,0.9215,0.6661,1.7006,1.0188
14,0.4276,0.2363,0.4218,0.4443,0.9064,0.6546,1.4957,1.0456
15,0.8324,0.191,0.2819,0.4544,0.7784,0.5253,1.3875,0.9949
16,0.5588,0.2615,0.5225,0.5107,0.8675,0.6182,1.5944,1.016
17,0.8069,0.2551,0.3239,0.5164,0.8848,0.6562,1.7755,0.9921
18,0.4064,0.2449,0.5712,0.4815,0.81,0.5273,1.372,0.9822
19,0.3901,0.2173,0.3872,0.5528,0.7792,0.5819,1.4857,0.9802
20,0.6891,0.2801,0.3383,0.5296,0.8645,0.6142,1.7721,1.0163
21,0.5847,0.2646,0.4476,0.5712,0.8133,0.5797,1.4321,0.9794
22,0.4461,0.2294,0.3712,0.5664,0.8859,0.662,1.5752,0.9306
23,0.58,0.2226,0.4958,0.5578,0.8386,0.6242,1.5252,0.9631
24,0.5918,0.2448,0.3997,0.5055,0.7592,0.5337,1.2031,0.9833
25,0.4601,0.2489,0.2945,0.5648,0.7883,0.5883,1.2513,0.9954
26,0.7066,0.2392,0.433,0.5253,0.879,0.6041,1.5737,1.0203
27,0.5567,0.2248,0.4367,0.4962,0.7457,0.5854,1.6576,0.9861
28,0.6498,0.2078,0.3294,0.481,0.8,0.5221,1.3046,0.9627
29,0.3395,0.2273,0.3702,0.4785,0.7801,0.6021,1.6095,0.9972
