,RF,RF-DAL,HT,HT-DAL,KNN,KNN-DAL,LR,LR-DAL
0,0.0407,0.0258,0.1135,0.0982,0.0986,0.0836,0.3452,0.617
1,0.0431,0.0269,0.1171,0.0854,0.0961,0.0815,0.3449,0.635
2,0.0386,0.0255,0.1119,0.0821,0.0921,0.0803,0.3416,0.6222
3,0.0581,0.026,0.1086,0.0926,0.0945,0.0844,0.3438,0.6213
4,0.0377,0.0267,0.1093,0.0876,0.0942,0.0843,0.3444,0.6204
5,0.0378,0.025,0.1128,0.0814,0.0952,0.0809,0.3473,0.6246
6,0.0484,0.0238,0.1202,0.0932,0.0957,0.0844,0.3427,0.6207
7,0.0356,0.0268,0.1172,0.0945,0.0951,0.0791,0.3448,0.6216
8,0.0608,0.029,0.1124,0.1183,0.0932,0.0832,0.3443,0.6277
9,0.0958,0.0261,0.1208,0.096,0.0965,0.08,0.3403,0.6347
10,0.0578,0.0282,0.1169,0.088,0.0933,0.0815,0.3406,0.6183
11,0.0406,0.0275,0.1028,0.0825,0.0914,0.0797,0.3408,0.6265
12,0.0497,0.027,0.1118,0.0935,0.094,0.0838,0.3388,0.6171
13,0.0434,0.0271,0.1073,0.0854,0.0924,0.0836,0.3402,0.6309
14,0.0505,0.0233,0.1244,0.0907,0.0924,0.08,0.346,0.6193
15,0.0677,0.025,0.1163,0.0898,0.0939,0.085,0.3406,0.6072
16,0.0387,0.0261,0.1136,0.088,0.0981,0.0851,0.3446,0.6172
17,0.0522,0.0271,0.1204,0.1007,0.0924,0.0858,0.3409,0.6265
18,0.053,0.027,0.1122,0.0865,0.0937,0.0811,0.3491,0.6205
19,0.0407,0.0271,0.111,0.0931,0.0942,0.0837,0.339,0.6345
20,0.045,0.0265,0.1142,0.096,0.0942,0.0853,0.3362,0.6195
21,0.0527,0.026,0.128,0.1036,0.0954,0.0818,0.3432,0.6194
22,0.0736,0.0262,0.1243,0.0862,0.0922,0.0812,0.3432,0.6362
23,0.0351,0.0237,0.1104,0.0979,0.0948,0.0858,0.3457,0.6218
24,0.041,0.0234,0.1144,0.0917,0.0941,0.0825,0.3394,0.6221
25,0.081,0.0245,0.1194,0.0881,0.0922,0.0799,0.3419,0.6247
26,0.0476,0.0276,0.1139,0.104,0.0972,0.0842,0.343,0.6267
27,0.035,0.0272,0.1156,0.0958,0.0938,0.0808,0.3377,0.6161
28,0.0384,0.0233,0.1089,0.0929,0.0964,0.0806,0.3382,0.6321
29,0.0926,0.0274,0.1045,0.1035,0.0953,0.0831,0.3451,0.6259
