Unnamed: 0,Re-DaL,ARF,SRP,SeMLP,BEETLE,DHDA
0,0.0677,1.2673,1.7623,0.1492,0.1492,0.0841
1,0.0629,0.9187,1.7134,0.2993,0.2993,0.1104
2,0.1393,0.7663,1.8998,0.2802,0.2802,0.1894
3,0.0985,1.3981,1.9902,0.089,0.0891,0.0939
4,0.1138,0.7848,1.8632,0.1664,0.1664,0.125
5,0.1248,1.2533,1.7763,0.3985,0.4014,0.1281
6,0.0869,0.7494,1.6429,0.1392,0.1392,0.1566
7,0.0656,0.7595,1.9076,0.3068,0.3069,0.0995
8,0.0934,0.8723,1.8397,0.1759,0.1759,0.1157
9,0.136,1.2856,1.7737,0.0837,0.0837,0.1613
10,0.0717,1.3883,1.9137,0.1181,0.1181,0.078
11,0.1446,1.1942,1.8791,0.2281,0.2281,0.0999
12,0.1395,0.655,1.9789,0.3762,0.3762,0.1069
13,0.1309,1.2309,1.8266,0.109,0.109,0.1283
14,0.0652,0.8623,1.9958,0.5458,0.5458,0.1572
15,0.0679,0.4089,1.7873,0.4023,0.4023,0.1672
16,0.1077,0.952,1.9493,0.3117,0.3148,0.1767
17,0.0951,0.6349,1.8764,0.1441,0.1445,0.09
18,0.1461,0.7475,1.8016,0.3044,0.3006,0.1079
19,0.0713,1.0509,1.6655,0.0889,0.0895,0.0842
20,0.094,0.8763,1.7433,0.1526,0.1535,0.1918
21,0.1033,0.936,2.1354,0.3217,0.3217,0.1281
22,0.1218,0.8471,2.055,0.3828,0.3828,0.1146
23,0.1102,0.7505,1.9762,0.171,0.171,0.1163
24,0.0579,0.8852,1.9557,0.255,0.2454,0.1096
25,0.0788,0.9216,1.5785,0.1242,0.1242,0.1286
26,0.07,0.6422,1.7737,0.1164,0.1168,0.1077
27,0.1606,1.0753,1.6078,0.0974,0.0974,0.0906
28,0.0562,0.9898,1.932,0.1037,0.1544,0.1134
29,0.0521,1.0517,1.8894,0.0841,0.0841,0.0996
