Unnamed: 0,Re-DaL,ARF,SRP,SeMLP,BEETLE,DHDA
0,4.2934,62.0278,106.3439,10.2271,10.2271,7.7443
1,77.2401,322.4956,550.956,2681.6637,2679.8324,18.9229
2,70.3869,158.4387,371.0608,641.9931,657.8024,45.787
3,162.3943,204.5519,742.2625,1883.9992,1868.9062,20.3557
4,80.8602,144.018,269.5009,1170.8835,1170.8835,9.3329
5,125.049,439.4364,817.2482,1415.5726,1415.5726,66.9462
6,111.4919,245.6496,387.76,58.8844,58.8844,58.2156
7,107.1885,631.247,1195.6281,173.26,172.9523,17.2486
8,169.2905,266.2931,620.3598,117.0066,117.0066,80.5187
9,857.1618,133.3185,281.4172,726.7513,577.2877,76.3497
10,164.9782,125.9066,431.7074,1568.2738,1594.8305,43.7976
11,3.0506,158.4324,613.5087,188.1647,186.4602,3.4518
12,83.2436,275.3528,429.0205,84.1752,84.1752,68.7128
13,39.468,205.6888,338.5418,430.6078,442.6621,50.4337
14,50.4247,246.564,373.3942,69.8465,69.8465,15.9481
15,98.647,371.2252,493.5946,1267.1917,1269.826,99.758
16,159.6794,280.9168,1034.9972,202.0923,202.0923,9.5235
17,174.127,246.4382,418.383,49.0274,92.6436,8.7498
18,238.8288,214.8954,760.4335,1542.8147,1545.3438,115.8514
19,48.9201,374.7049,309.3537,144.8827,125.0154,13.7645
20,163.4278,400.908,673.1115,1287.7553,1287.7553,8.3943
21,7.006,123.3021,255.7664,19.0812,16.4952,24.5525
22,397.9574,248.3382,1146.015,229.1206,244.0927,334.907
23,400.7646,262.9802,1006.1806,136.9296,397.4995,85.5922
24,11.2248,125.9009,260.0064,60.9034,60.9033,19.2379
25,253.1055,254.2046,778.1604,179.7569,178.8127,163.7318
26,22.713,236.5842,488.1426,419.9153,443.5858,31.4335
27,206.5394,95.1126,213.5794,89.0969,89.0969,120.651
28,12.233,110.1784,177.4586,31.7296,34.2928,2.3457
29,685.8797,348.243,576.0084,1603.9631,1606.3694,21.6495
