Unnamed: 0,Re-DaL,ARF,SRP,SeMLP,BEETLE,DHDA
0,15.3313,1.2019,0.4511,0.5214,1.2233,0.5014
1,23.6557,7.3394,1.4538,1.1843,3.9887,0.2439
2,40.7506,6.4594,0.9549,1.2459,3.6332,1.365
3,0.8046,1.6686,0.27,6.4575,6.5354,0.3621
4,145.0749,0.6363,0.3709,0.3566,0.5372,11.6171
5,1.8316,0.3303,0.2214,0.3482,0.3499,1.0337
6,7.0267,8.8467,1.178,61.9588,61.9599,1.6913
7,5.9299,4.3936,1.7771,15.5092,15.7921,1.2672
8,1.5123,1.4694,0.3076,1.7412,2.6099,0.0812
9,4.9298,1.507,1.5232,1.9101,1.9104,0.091
10,1.9773,2.1956,1.2452,1.5738,2.0614,0.0512
11,0.7649,0.9841,0.4564,4.0333,4.2109,1.5504
12,6.0497,44.6479,5.582,16.0358,50.9515,0.2266
13,129.0988,1.7824,1.6496,2.15,2.2794,2.2568
14,0.4049,0.4222,0.1856,0.3014,0.4265,0.0311
15,6.7308,0.4931,0.4766,1.3863,1.3871,0.2166
16,5.4447,0.4505,0.3574,0.5926,0.5858,0.2695
17,7.3197,1.2536,1.2151,1.4183,1.5272,0.1943
18,20.6812,2.1496,0.6693,6.8534,7.0738,1.3655
19,0.4724,2.7762,0.2973,0.8131,2.3993,0.2467
20,20.2696,1.1862,1.2975,3.0678,3.0711,0.1492
21,43.223,0.6397,0.3456,1.2187,1.6169,0.3711
22,1.5367,1.6282,1.0166,4.8931,5.0596,0.1715
23,19.5619,1.6181,1.3923,1.2919,1.5973,0.9998
24,230.0606,2.337,0.8734,11.3409,11.6179,12.6111
25,2.0069,0.1962,0.0651,0.3639,0.3585,0.0877
26,72.9519,4.6738,0.9539,16.8565,20.0165,1.0034
27,1.1294,0.8688,0.2998,1.7698,1.9508,0.0658
28,7.0309,4.4854,0.9803,1.0076,2.6055,0.5561
29,0.3996,8.57,1.2113,14.8742,20.2208,0.0274
