Unnamed: 0,Re-DaL,ARF,SRP,SeMLP,BEETLE,DHDA
0,0.2652,0.5062,0.9851,1.349,1.349,0.2423
1,0.2626,0.519,0.7807,0.4147,0.4147,0.2093
2,0.6167,0.5188,0.8999,0.6084,0.6084,0.3524
3,0.4168,0.5975,1.3813,0.4337,0.434,0.2409
4,0.5876,0.4692,0.8584,0.5533,0.5531,0.2453
5,0.6226,0.5871,1.2301,0.4033,0.4035,0.2746
6,0.6157,0.52,0.989,1.343,1.343,0.2382
7,0.2596,0.5614,0.8021,0.6435,0.6435,0.218
8,0.6104,0.5336,1.145,1.2761,1.2761,0.2406
9,0.3636,0.5417,0.8479,0.5067,0.5067,0.2456
10,0.292,0.6032,1.2136,0.5011,0.5019,0.2333
11,0.4317,0.5113,0.7717,0.3913,0.3913,0.226
12,0.435,0.5716,1.0304,1.2201,1.2201,0.2753
13,0.6174,0.5845,1.1424,0.4673,0.4673,0.2465
14,0.3843,0.5481,0.7557,0.5371,0.5371,0.2363
15,0.2751,0.5848,1.0921,1.4946,1.4946,0.191
16,0.3664,0.5145,0.9724,0.5982,0.5982,0.2615
17,0.6192,0.4992,0.9035,1.4685,1.4685,0.2551
18,0.3714,0.5748,1.1585,0.4904,0.4906,0.2449
19,0.2935,0.4827,0.9345,1.1852,1.1852,0.2173
20,0.6067,0.5488,1.0224,0.6254,0.6254,0.2801
21,0.297,0.5774,1.2177,0.3424,0.3427,0.2646
22,0.6044,0.6295,1.2383,0.495,0.4948,0.2294
23,0.4167,0.4902,0.9505,0.5237,0.524,0.2226
24,0.2827,0.4848,0.9329,1.3526,1.3526,0.2448
25,0.2711,0.5426,1.0539,1.2579,1.2579,0.2489
26,0.3734,0.5101,1.2553,0.4515,0.4517,0.2392
27,0.2616,0.5251,0.7966,0.6842,0.6842,0.2248
28,0.2726,0.5629,1.3518,0.3738,0.3742,0.2078
29,0.2562,0.5623,1.2495,0.4813,0.4821,0.2273
