Unnamed: 0,Re-DaL,ARF,SRP,SeMLP,BEETLE,DHDA
0,1.1225,0.905,0.1507,6.805,7.2654,0.4302
1,33.6419,0.3335,0.1881,0.4341,0.5485,0.3536
2,0.5003,0.4485,0.2517,0.3184,0.4893,0.339
3,3.8988,1.8709,0.5074,1.1647,3.2911,0.3847
4,0.4709,0.235,0.2027,1.1231,1.1545,0.2323
5,0.6063,11.0222,0.9669,45.9739,47.1228,0.062
6,0.976,0.465,0.3286,0.8373,0.9283,0.2172
7,77.8912,0.3288,0.2854,1.0179,1.0209,1.954
8,0.6807,4.8839,0.8554,1.4247,3.4274,0.1772
9,1.4333,20.8965,4.732,11.1734,28.3033,0.4985
10,0.6953,7.4574,3.1689,2.0468,4.7563,0.3359
11,1.3292,11.1347,3.9753,25.4565,40.7118,0.0923
12,15.9379,1.6097,0.2343,3.4678,5.6427,0.7068
13,5.6512,13.2098,1.443,56.8419,64.9652,0.4541
14,0.8401,7.3262,1.376,33.6172,34.3953,0.3253
15,9.1644,0.2781,0.0682,0.3318,0.3736,1.377
16,24.4595,0.9888,0.4073,0.5188,0.8959,1.7305
17,4.1662,1.4078,0.2746,5.777,5.7993,0.3567
18,29.9465,0.5467,0.2241,1.7909,1.9761,1.5495
19,1.3404,2.1527,0.5476,6.159,6.6392,0.2507
20,20.4621,1.583,0.6915,3.7798,5.656,0.6252
21,1.0184,1.2358,0.2909,2.1477,3.9714,0.3242
22,2.3251,8.6183,1.8222,34.8437,39.1015,0.1431
23,1.0378,1.5036,0.4428,0.8343,1.8633,0.4338
24,81.5128,1.0702,0.4211,0.6661,0.8489,0.5812
25,6.9838,0.3489,0.1025,1.6864,1.6652,0.1535
26,8.8076,0.5345,0.2674,1.758,1.7747,0.6756
27,0.3275,1.4614,0.2479,0.787,1.7896,0.0461
28,5.3144,0.2338,0.1006,0.3677,0.48,0.3391
29,0.4099,2.0239,0.2947,8.1433,8.143,0.2393
