,Re-DaL,ARF,SRP,SeMLP,BEETLE,DHDA
0,3.9352,1.7925,6.7538,4.1628,4.1628,0.4308
1,0.3867,1.3712,0.2959,0.4372,0.4372,0.1694
2,1.2993,1.1721,0.3201,0.3356,0.3671,0.11
3,2.9133,1.1314,1.8621,0.9133,1.4093,0.2285
4,1.4335,1.833,6.4818,1.3094,1.3167,0.4365
5,0.8323,1.2275,0.1928,0.3433,0.3317,0.1547
6,1.7498,0.7246,0.2449,1.5513,1.5758,0.2088
7,1.1811,1.3698,0.7537,1.3362,1.437,0.4089
8,0.7347,1.9113,0.2757,0.4826,0.4826,0.1469
9,0.7014,1.6175,1.656,1.0868,1.0542,0.2954
10,0.5692,1.7701,0.3424,0.5028,0.5024,0.2283
11,0.6619,2.0296,5.4165,0.475,0.475,0.2768
12,0.9336,1.2644,0.3888,0.6389,0.6767,0.3169
13,0.9828,1.9638,6.3616,0.7907,0.8848,0.252
14,2.8006,1.2164,5.2372,4.3096,4.4182,0.3568
15,1.5082,1.4996,0.8885,1.6138,1.6511,0.3403
16,0.7898,1.1959,0.3192,0.7783,0.4212,0.214
17,0.5708,1.1476,0.3295,0.4318,0.4319,0.1593
18,1.974,1.1389,0.5567,0.7115,0.9559,0.2891
19,4.8351,1.7586,11.9663,4.5781,4.7073,0.3945
20,1.5174,1.6795,2.7776,1.3779,1.5405,0.3165
21,2.5216,1.2093,3.51,3.6323,3.692,0.2398
22,1.4525,2.2035,0.7714,1.0827,1.0827,0.3217
23,1.5298,1.5211,4.0836,1.5313,1.5836,0.3461
24,2.023,2.3555,9.935,1.248,1.8091,0.3429
25,1.1675,1.4676,0.7724,1.5972,1.5854,0.3426
26,0.5337,1.0818,0.279,0.6863,0.7336,0.2133
27,2.3806,1.6985,2.2505,1.1654,1.3111,0.5299
28,0.3399,1.3287,1.72,0.5173,0.5173,0.2096
29,1.1355,1.5736,0.8467,1.6025,1.614,0.4312
