,t=1,t=2,t=3,t=4,t=5,t=6,t=7
0,370.66889214515686,316.1006770133972,279.71656799316406,257.72180438041687,235.7221086025238,274.6009862422943,248.4918875694275
1,377.6341552734375,402.16790294647217,305.46843433380127,291.7903182506561,321.34809470176697,244.53566813468933,267.39778423309326
2,336.5117988586426,274.50810623168945,252.57196426391602,259.42238783836365,241.80611038208008,237.57553696632385,244.78931546211243
3,388.0623502731323,325.99867844581604,282.3560268878937,299.11202359199524,249.41255021095276,256.5203402042389,251.1326446533203
4,545.104719877243,334.4258553981781,352.08106899261475,323.31205534935,322.4111981391907,314.0353887081146,309.8009464740753
5,356.4145395755768,333.12226581573486,266.4645104408264,250.8838973045349,274.2103295326233,242.6058211326599,222.00498151779175
6,331.6060793399811,294.894611120224,262.7114758491516,235.46931886672974,243.6230983734131,260.65116834640503,246.06675934791565
7,369.5598335266113,288.2086181640625,262.8607611656189,280.4504990577698,245.68708109855652,238.46139407157898,236.8254873752594
8,539.6228718757629,315.4953877925873,266.4674868583679,334.3244001865387,323.1457748413086,315.37848353385925,238.61734700202942
9,540.7593016624451,406.4557204246521,354.33183121681213,335.62696266174316,322.248322725296,255.6883294582367,258.3643023967743
10,374.2980787754059,401.7763419151306,359.9452621936798,246.25795030593872,322.97902822494507,249.36939644813538,251.60797905921936
11,449.70752000808716,405.55636191368103,276.3628041744232,300.1321566104889,323.73500752449036,343.45508551597595,310.9713716506958
12,369.1881756782532,328.88888692855835,287.3586964607239,263.76035809516907,239.3207139968872,236.0549557209015,231.02724838256836
13,528.6002564430237,405.44522285461426,302.5753266811371,288.8183071613312,238.4050693511963,315.3675730228424,269.919917345047
14,357.2505865097046,271.2713189125061,293.5901997089386,275.4317696094513,224.9869465827942,240.1972954273224,233.37931871414185
15,439.49659967422485,332.12544202804565,300.95423769950867,282.8385605812073,273.46866250038147,220.15571117401123,217.15249228477478
16,374.66254591941833,274.1707184314728,259.88058280944824,256.48281836509705,245.2840518951416,243.01920247077942,309.3507401943207
17,401.57066822052,292.2429778575897,292.71552991867065,341.12734842300415,239.01593041419983,259.26713514328003,260.995747089386
18,431.94172954559326,297.50256085395813,316.9394037723541,306.83717250823975,327.05795645713806,266.9485762119293,264.61127853393555
19,354.40581488609314,284.0508885383606,258.7664546966553,283.8721990585327,238.8167769908905,224.28411412239075,233.14372444152832
20,353.6165232658386,337.70385217666626,300.1587359905243,277.79403805732727,274.38580799102783,264.93519616127014,262.05893445014954
21,387.7991096973419,332.8079001903534,294.4185266494751,258.3997452259064,268.35160279273987,268.56855297088623,226.3020088672638
22,397.39632296562195,334.6186580657959,236.2942409515381,284.33992981910706,273.7450420856476,265.5039818286896,239.3016550540924
23,435.0623962879181,308.2170660495758,301.34537148475647,275.4111547470093,266.4510962963104,233.40548133850098,257.1625623703003
24,423.86750054359436,261.14461302757263,282.7102921009064,259.1408197879791,309.36505699157715,261.8304386138916,264.0186891555786
25,378.80645418167114,289.2951965332031,261.53236150741577,275.77462363243103,241.07953643798828,234.6656744480133,262.3575351238251
26,429.9771828651428,316.01406812667847,302.54980754852295,281.17197489738464,318.36023449897766,315.31715536117554,246.9946324825287
27,381.68001770973206,297.1559865474701,249.11952662467957,255.47867631912231,244.18349289894104,225.63452625274658,226.69302129745483
28,560.0441117286682,395.5924344062805,356.4415946006775,288.3654487133026,273.2132830619812,286.2777237892151,263.7321949005127
29,374.0846858024597,291.94866466522217,304.0833191871643,236.9550495147705,341.5881803035736,237.217848777771,265.95342326164246
