,t=1,t=2,t=3,t=4,t=5,t=6,t=7
0,56.167900800704956,46.19730520248413,43.41022801399231,42.35496687889099,41.96698355674744,40.91553020477295,41.03099989891052
1,55.811882972717285,47.4139461517334,44.15940189361572,43.50662088394165,42.727853775024414,41.87512397766113,41.88777256011963
2,57.30745339393616,46.77390193939209,43.48340916633606,43.0102219581604,42.38668918609619,41.43043351173401,41.92159652709961
3,53.62120008468628,45.717447996139526,42.675493478775024,42.07550072669983,41.07407903671265,40.59473252296448,40.36746168136597
4,60.87770104408264,49.29297971725464,46.57864570617676,44.782475233078,44.182918071746826,43.11859703063965,42.5573194026947
5,56.07308602333069,47.018749713897705,43.81193017959595,42.97905611991882,41.619059324264526,40.913856983184814,40.65676712989807
6,57.192949533462524,47.90252733230591,44.3517689704895,43.35935163497925,42.61468839645386,41.68848967552185,41.77728033065796
7,55.841636657714844,47.05106973648071,44.11489653587341,42.98569464683533,43.259376525878906,41.74773621559143,41.6464147567749
8,55.35263133049011,46.838627338409424,43.70544481277466,42.715704679489136,42.30075669288635,41.30681371688843,41.27787923812866
9,54.313499212265015,45.95801281929016,42.661232709884644,42.20709466934204,41.00761556625366,40.567875146865845,40.443135499954224
10,54.882023334503174,46.9437313079834,44.07641315460205,42.74552631378174,41.37670707702637,40.683515787124634,41.201491832733154
11,53.44956994056702,45.029069662094116,42.47606444358826,41.374213457107544,40.32153630256653,40.45671010017395,39.98371720314026
12,56.23177933692932,48.15777945518494,44.88302493095398,44.232816219329834,42.46753478050232,42.65983510017395,42.2300546169281
13,53.904507875442505,45.80950593948364,43.87854051589966,42.40167546272278,40.9234344959259,41.061933755874634,41.03919792175293
14,54.364710330963135,46.31285357475281,43.884589433670044,42.49293279647827,41.508758544921875,41.47090935707092,42.064911127090454
15,54.580769777297974,46.435436725616455,43.45242786407471,42.05711841583252,42.094239950180054,40.84407663345337,39.98083829879761
16,59.16013264656067,49.60177516937256,46.21830892562866,44.75895547866821,44.06621432304382,43.29335927963257,42.895387172698975
17,58.21382927894592,48.7954638004303,45.90629553794861,44.67605376243591,43.207974672317505,43.1164665222168,42.75773644447327
18,57.97646689414978,48.18231916427612,45.172261476516724,44.08062434196472,42.718565702438354,42.36425256729126,42.42258620262146
19,53.9080810546875,45.64028978347778,42.99166297912598,42.01560711860657,40.86337447166443,40.78187894821167,40.427674531936646
20,58.45791554450989,46.263301610946655,46.598644733428955,43.75782918930054,44.18306922912598,43.52504372596741,41.3069269657135
21,55.940186977386475,47.26697611808777,44.73557186126709,43.81866788864136,42.497883796691895,42.29086375236511,41.990729570388794
22,57.263081789016724,47.935242652893066,44.88160586357117,43.73959684371948,42.813541650772095,41.89559483528137,42.08013296127319
23,54.297656774520874,45.05069899559021,42.37060546875,41.791584968566895,40.74207329750061,40.492063760757446,40.326334714889526
24,55.58146524429321,46.940471172332764,44.30211281776428,43.13096833229065,42.109394550323486,41.84236454963684,41.78667902946472
25,58.88039970397949,48.84522867202759,45.75141167640686,44.6903555393219,43.500073194503784,42.944695711135864,43.012760400772095
26,55.426522970199585,47.20732855796814,44.6261420249939,43.58515906333923,42.65036463737488,41.66914939880371,42.34056639671326
27,56.24133086204529,47.52561688423157,44.44933319091797,43.495025634765625,42.415483236312866,41.90748739242554,42.019814252853394
28,58.582237005233765,47.08737778663635,43.903176069259644,44.47936415672302,42.41488289833069,41.551581382751465,41.95775651931763
29,57.32879161834717,48.46437215805054,44.65976119041443,43.34779214859009,42.741501569747925,41.5486536026001,41.481348752975464
