,t=1,t=2,t=3,t=4,t=5,t=6,t=7
0,210.9707314968109,178.65426802635193,166.13847661018372,167.93106818199158,139.11501479148865,155.85463428497314,145.26131105422974
1,241.7578845024109,170.6082615852356,160.37268447875977,152.0623812675476,149.02593684196472,144.56836533546448,154.58951330184937
2,249.62619805335999,186.37549090385437,161.77663850784302,166.5988166332245,166.827698469162,161.81519317626953,156.4874198436737
3,216.9949381351471,165.16351175308228,156.88371300697327,153.28712272644043,144.69479250907898,147.0504503250122,140.35228204727173
4,205.08123207092285,168.96735882759094,165.5469572544098,147.71541357040405,141.48707604408264,142.99613165855408,146.0010097026825
5,220.9494330883026,175.04470324516296,164.6943862438202,183.74371075630188,166.26707911491394,155.62216424942017,155.49503922462463
6,228.72458934783936,196.73574352264404,167.61537647247314,165.57640933990479,152.7862401008606,160.6256401538849,160.08176064491272
7,241.98247504234314,174.40599751472473,171.34096598625183,162.99876403808594,156.73206639289856,144.7610626220703,154.9528431892395
8,215.5707769393921,212.64277815818787,156.63092517852783,161.31108593940735,176.7666871547699,144.8265097141266,162.0841929912567
9,213.2798366546631,174.05098032951355,158.99045491218567,153.28381991386414,147.00967240333557,147.67932105064392,142.96057081222534
10,233.53845691680908,190.6072027683258,164.8777596950531,154.9501051902771,157.80339193344116,156.2831630706787,152.5191948413849
11,209.20026898384094,170.84405636787415,160.16777181625366,149.54269862174988,145.92668175697327,145.8184096813202,143.18042588233948
12,214.4329218864441,165.79802799224854,157.00429940223694,151.2668297290802,149.1550178527832,145.75907063484192,143.9696123600006
13,220.88846373558044,184.41335105895996,164.30093598365784,160.0707676410675,147.78286027908325,149.1003532409668,152.95345664024353
14,225.7525725364685,175.566912651062,164.75190830230713,151.97175979614258,147.03358435630798,145.65306067466736,145.4327974319458
15,237.75135159492493,203.00310826301575,171.23348474502563,163.8082389831543,152.6855456829071,157.64153599739075,151.235830783844
16,217.07528614997864,175.03210496902466,162.09613418579102,153.5203719139099,147.26703524589539,142.56632280349731,142.794362783432
17,226.16530060768127,186.29807472229004,171.63160967826843,172.6919903755188,166.8132312297821,158.0927095413208,154.42981219291687
18,226.70955562591553,177.62390184402466,165.92035961151123,153.92656230926514,156.9892439842224,152.80789828300476,153.74904036521912
19,213.82921361923218,170.55826044082642,157.61824750900269,153.4578194618225,146.99559783935547,149.71222066879272,139.87841200828552
20,215.81783652305603,171.6111192703247,152.91715121269226,143.29150938987732,144.88246536254883,149.9443211555481,141.00405979156494
21,258.3186528682709,180.7485637664795,167.0768313407898,167.83468317985535,164.96905517578125,159.87044596672058,155.02115511894226
22,217.39184045791626,182.17829370498657,154.0286304950714,156.49970197677612,151.2027382850647,143.03208184242249,150.8389286994934
23,213.00327467918396,171.4327597618103,160.39820647239685,154.50924015045166,161.7264368534088,145.38420057296753,143.11628437042236
24,217.25503587722778,169.84922885894775,152.1851408481598,146.86022329330444,155.17862176895142,149.21595931053162,139.68025588989258
25,202.70227575302124,168.02553510665894,160.78485321998596,154.9099564552307,156.18425130844116,150.33885192871094,157.47612380981445
26,220.46253061294556,180.20757842063904,162.42806267738342,153.49934124946594,152.95033740997314,151.50566387176514,148.07822489738464
27,237.78282618522644,171.4004304409027,174.8654716014862,178.48528361320496,151.61564993858337,144.92675518989563,146.05504274368286
28,216.50721907615662,197.28900456428528,162.06571412086487,150.11408734321594,151.76689171791077,156.62600874900818,145.93211770057678
29,210.47290301322937,178.02821230888367,173.39991807937622,157.12802457809448,149.78908228874207,145.65381693840027,155.05115723609924
