,t=1,t=2,t=3,t=4,t=5,t=6,t=7
0,346.85272002220154,266.76621437072754,240.95708012580872,227.61523270606995,216.88226056098938,256.1738383769989,207.76579332351685
1,327.256698846817,313.3235983848572,261.8389894962311,218.8815414905548,211.9363899230957,220.63917541503906,211.53430700302124
2,327.0408480167389,279.8114528656006,241.8564817905426,230.39273238182068,225.6263165473938,249.93571162223816,244.9749116897583
3,328.73159193992615,255.92024779319763,232.8033640384674,259.38327980041504,252.29275846481323,249.67826128005981,231.57058310508728
4,348.28495812416077,280.9243640899658,240.42697191238403,227.72281193733215,231.2246961593628,231.5328917503357,225.40349531173706
5,320.04215908050537,292.66521286964417,259.1360969543457,234.08059978485107,293.28521966934204,209.82342863082886,203.6955327987671
6,357.0762071609497,277.1469020843506,248.03759598731995,235.68577194213867,267.9565997123718,217.4058918952942,253.95361280441284
7,333.365038394928,260.4995713233948,234.88782835006714,223.14326643943787,214.4807322025299,212.27660155296326,257.37980341911316
8,299.5315418243408,238.33374309539795,217.69001603126526,207.90224623680115,203.1059651374817,200.68725728988647,202.64222407341003
9,364.759765625,304.1781542301178,242.9871437549591,216.4566309452057,208.51649355888367,339.7884283065796,283.0170760154724
10,361.50328969955444,243.537663936615,235.82525491714478,240.1213493347168,229.2946116924286,223.2716121673584,219.5244495868683
11,317.58531427383423,252.34716486930847,230.67709803581238,218.21990728378296,212.09737920761108,208.55655002593994,205.28088569641113
12,307.507022857666,242.2962384223938,241.3201630115509,223.26979422569275,206.2294373512268,198.47589349746704,199.4502353668213
13,322.06867241859436,251.36302423477173,212.37983012199402,202.9908196926117,211.53806495666504,219.02631378173828,191.35457611083984
14,343.5102105140686,267.82151317596436,245.07716870307922,230.24251055717468,224.12273716926575,243.4440302848816,226.8037347793579
15,321.1638548374176,253.27338981628418,230.94184255599976,222.09429168701172,217.80079913139343,246.4413161277771,214.96403670310974
16,367.42607975006104,286.8946924209595,225.77511858940125,215.6639904975891,223.52550387382507,233.04084467887878,202.357191324234
17,325.2693455219269,251.79746651649475,278.21679067611694,292.6348214149475,248.16427874565125,243.34888529777527,241.7627556324005
18,328.7108795642853,255.99925231933594,231.34070920944214,237.63912415504456,215.93144941329956,210.9918053150177,201.70240592956543
19,311.03471636772156,236.26018071174622,223.53217935562134,249.68788933753967,203.64014387130737,215.61949038505554,230.39908957481384
20,374.1930339336395,290.84916257858276,262.5841748714447,256.9483141899109,239.3900249004364,237.60692024230957,231.65213203430176
21,361.6587951183319,280.5261209011078,315.44440388679504,305.35009121894836,297.71216773986816,292.3228418827057,236.07893776893616
22,286.210679769516,239.81638503074646,218.92306399345398,224.868412733078,212.34806966781616,203.54142475128174,204.92868542671204
23,350.05510663986206,272.7143540382385,239.51486039161682,235.6824610233307,215.84503960609436,225.90865087509155,221.98762702941895
24,333.13190722465515,254.5143542289734,259.48063015937805,265.1023986339569,254.56192564964294,248.2011203765869,245.76072883605957
25,341.2777714729309,262.3722276687622,236.77260518074036,225.26913022994995,259.0990025997162,208.85876727104187,250.25167274475098
26,316.0382044315338,248.34475946426392,257.1841034889221,224.90286374092102,215.67630982398987,234.57784628868103,208.4453423023224
27,306.15771484375,238.3689308166504,233.228093624115,240.9067394733429,232.14264154434204,222.28223061561584,218.62542128562927
28,339.9267785549164,265.08298444747925,239.49373722076416,228.38733386993408,221.45667695999146,216.63357830047607,212.45695781707764
29,338.84328389167786,272.91045355796814,244.14297795295715,232.9670648574829,225.12348198890686,236.88981652259827,213.37993097305298
