Unnamed: 0,Re-DaL,ARF,SRP,SeMLP,BEETLE,DHDA
0,79.471,547.855,1023.922,158.491,180.093,71.847
1,395.822,420.467,691.147,198.585,217.857,413.357
2,812.726,80.126,191.034,7.426,7.317,396.143
3,341.449,220.338,463.435,28.467,27.498,286.568
4,836.408,939.478,1190.233,779.516,768.71,413.272
5,837.322,263.502,492.864,72.256,70.832,423.602
6,356.093,689.286,1030.772,438.385,408.237,241.561
7,77.101,178.057,392.535,14.564,14.991,77.426
8,798.225,271.474,606.518,25.873,25.894,417.842
9,395.443,78.782,177.259,6.928,6.699,245.697
10,362.709,183.984,408.622,15.499,15.317,199.549
11,385.143,98.894,200.14,38.904,38.649,216.335
12,79.615,409.367,752.513,162.159,186.906,67.096
13,851.737,172.232,384.485,14.844,14.951,331.451
14,379.816,73.221,177.19,6.269,6.236,194.857
15,392.694,724.79,1048.684,594.125,451.746,196.471
16,368.845,64.64,161.816,6.253,6.184,171.686
17,350.592,600.887,945.925,323.131,320.502,195.164
18,371.364,183.629,397.07,13.961,14.005,196.739
19,334.808,890.689,1215.901,619.857,617.769,177.947
20,394.981,931.498,1245.424,724.305,695.358,199.327
21,87.674,152.719,319.898,17.316,16.602,67.886
22,836.992,406.626,680.482,202.122,189.62,288.756
23,373.592,277.717,458.519,122.824,147.406,174.818
24,363.478,156.281,320.844,24.355,23.196,183.162
25,310.843,205.049,463.238,18.354,18.443,157.457
26,329.34,151.284,318.884,22.473,22.829,188.088
27,65.389,148.295,311.765,11.497,11.937,54.327
28,389.739,156.197,318.858,36.257,35.416,161.011
29,67.264,141.116,306.282,11.923,11.667,57.323
