Unnamed: 0,Re-DaL,ARF,SRP,SeMLP,BEETLE,DHDA
0,82.201,89.16,141.999,30.764,37.62,232.493
1,86.003,131.274,185.344,77.169,79.134,100.908
2,67.557,119.809,170.469,56.694,66.523,96.149
3,71.696,114.679,165.622,54.149,62.519,96.543
4,73.96,117.754,169.372,67.767,74.032,103.509
5,69.051,114.203,164.207,61.504,73.691,93.344
6,70.12,71.683,122.41,26.968,28.08,99.435
7,71.638,139.779,188.02,94.136,90.697,100.399
8,73.144,113.916,157.177,55.494,72.311,99.474
9,68.834,119.702,162.977,62.103,75.038,98.509
10,73.076,107.62,152.179,57.05,60.378,99.647
11,67.229,104.462,145.666,59.308,63.725,102.856
12,70.253,101.639,145.643,53.6,64.466,105.822
13,68.678,118.593,160.203,57.226,76.648,96.826
14,76.333,91.819,134.224,49.382,57.777,95.929
15,66.707,88.48,127.747,46.45,47.975,96.797
16,72.812,92.98,133.964,51.927,52.257,104.095
17,78.155,97.857,139.994,61.365,64.498,103.385
18,71.64,100.23,141.376,56.614,56.022,99.636
19,65.751,102.485,143.478,60.36,63.642,91.813
20,69.697,110.343,150.566,59.167,69.932,92.838
21,69.916,125.247,164.268,49.621,83.843,100.353
22,69.756,95.791,137.402,56.435,60.114,100.83
23,74.392,97.775,137.091,44.449,54.826,92.217
24,73.774,66.199,106.976,21.537,22.499,97.373
25,70.983,87.342,125.403,44.287,49.508,101.959
26,70.562,88.896,126.893,55.322,48.756,98.726
27,68.907,91.677,129.501,46.501,54.194,94.438
28,76.701,89.748,128.246,48.141,47.402,94.705
29,66.07,96.119,136.255,42.9,53.203,93.905
