Unnamed: 0,Re-DaL,ARF,SRP,SeMLP,BEETLE,DHDA
0,579.548,252.671,445.247,46.06,46.284,592.924
1,604.112,325.558,521.761,120.95,121.283,631.303
2,620.07,238.602,409.72,39.91,40.101,741.429
3,566.652,236.456,392.439,37.354,37.261,713.084
4,550.615,225.406,379.752,34.63,34.993,708.484
5,580.663,219.268,364.003,35.713,35.218,498.193
6,569.155,215.453,372.323,33.614,33.973,455.577
7,516.481,263.304,422.795,83.12,83.124,494.537
8,581.87,215.389,350.133,32.663,32.554,396.246
9,563.072,199.13,330.184,33.064,33.296,365.476
10,568.411,206.492,340.957,31.36,31.916,351.354
11,570.422,186.968,328.995,32.666,33.254,342.295
12,561.836,202.016,324.973,30.986,31.468,337.664
13,545.629,204.871,363.361,32.932,32.648,296.639
14,557.487,176.02,309.294,32.457,31.864,402.868
15,600.175,201.858,358.611,30.789,30.762,423.031
16,599.843,194.984,338.89,30.579,30.518,349.373
17,546.055,187.923,325.14,30.392,30.954,440.235
18,581.599,208.699,332.037,30.329,30.906,312.026
19,543.54,200.128,330.513,31.643,31.396,303.474
20,583.834,201.94,342.882,30.51,30.444,282.397
21,602.49,196.645,330.043,30.707,30.61,299.288
22,548.268,178.594,299.299,29.59,30.12,254.002
23,580.424,201.999,338.169,30.751,30.379,329.92
24,560.98,206.717,345.229,32.678,31.857,368.671
25,563.81,202.286,345.445,30.192,29.793,315.718
26,604.797,173.047,296.995,29.292,28.425,263.686
27,593.251,183.897,312.864,29.329,29.539,513.265
28,557.303,170.225,297.246,31.733,30.547,488.792
29,546.65,172.728,298.752,28.168,27.799,732.805
