Unnamed: 0,Re-DaL,ARF,SRP,SeMLP,BEETLE,DHDA
0,377.015,230.913,379.551,33.297,34.227,475.865
1,391.325,230.736,363.614,32.514,32.199,365.9
2,394.414,217.759,345.887,31.492,30.777,451.39
3,372.599,354.564,477.68,177.104,176.608,352.006
4,372.88,215.335,323.792,46.63,46.293,363.843
5,408.367,428.804,541.955,274.107,276.871,369.744
6,444.869,203.631,316.786,27.339,27.468,368.017
7,392.365,186.884,296.592,26.484,26.532,330.444
8,404.066,186.914,297.126,25.403,25.827,308.238
9,417.798,187.054,291.113,27.292,26.775,278.741
10,414.722,226.614,332.396,71.709,71.171,280.133
11,389.68,179.191,279.269,24.428,22.976,276.956
12,397.542,155.265,258.751,23.547,23.153,272.306
13,401.423,260.897,362.074,112.233,113.171,282.617
14,449.083,186.109,289.057,24.403,24.403,247.467
15,398.646,180.084,278.802,23.131,23.728,245.899
16,395.25,170.005,269.551,22.825,22.639,239.894
17,401.898,150.526,245.364,22.341,21.982,252.121
18,427.616,272.442,369.986,158.665,156.399,232.115
19,369.18,175.559,278.821,23.285,23.362,215.154
20,387.687,171.742,269.963,22.837,22.762,208.584
21,404.343,348.901,444.327,212.435,212.512,207.476
22,378.636,409.544,505.074,279.629,274.15,218.387
23,382.413,447.925,544.61,302.515,300.869,198.923
24,334.713,142.326,238.522,22.809,22.889,175.283
25,344.433,170.563,266.049,22.84,23.083,215.343
26,359.683,327.339,426.95,180.436,181.066,206.152
27,345.987,168.781,264.998,22.775,22.822,217.408
28,348.54,344.281,441.418,197.244,196.721,190.055
29,341.663,351.023,445.879,207.38,203.684,205.23
