Unnamed: 0,Re-DaL,ARF,SRP,SeMLP,BEETLE,DHDA
0,91.108,63.614,120.49,9.679,9.695,271.852
1,110.713,126.001,182.234,61.187,61.069,172.759
2,112.743,138.095,195.251,81.454,84.8,167.74
3,157.19,228.286,301.708,116.021,139.377,193.37
4,116.286,73.315,137.417,14.973,14.818,162.386
5,82.843,76.803,135.452,12.793,12.7,137.135
6,150.718,83.862,147.286,14.624,14.78,200.396
7,95.951,231.38,307.936,137.379,144.844,138.357
8,110.502,74.297,129.892,12.68,12.876,144.2
9,87.363,194.241,252.804,121.048,124.962,138.355
10,106.931,179.499,236.364,109.422,112.756,159.749
11,128.978,181.226,245.403,101.31,102.775,180.947
12,110.065,77.341,133.876,12.714,12.873,155.733
13,110.317,187.923,257.322,126.546,120.51,151.208
14,154.046,108.776,181.47,16.554,16.224,208.246
15,75.079,63.579,110.499,14.188,13.975,131.092
16,154.179,54.291,103.719,11.708,11.817,185.289
17,142.56,244.103,316.591,115.533,146.052,193.193
18,164.512,169.178,225.375,111.811,105.996,185.203
19,75.342,109.274,162.151,44.092,44.929,98.48
20,144.511,62.623,106.49,10.291,10.092,159.507
21,164.929,198.246,268.313,117.914,123.263,164.636
22,70.487,107.515,149.762,56.738,57.796,90.87
23,126.711,200.672,257.921,87.457,132.364,132.446
24,117.016,102.641,167.89,19.724,19.548,135.285
25,110.889,105.519,151.775,50.074,49.769,125.13
26,71.114,151.149,206.228,83.59,82.083,101.3
27,100.404,53.849,92.419,8.811,8.684,121.116
28,128.051,148.654,209.446,80.576,89.856,142.996
29,114.556,101.13,161.152,23.431,23.231,127.38
