Unnamed: 0,Re-DaL,ARF,SRP,SeMLP,BEETLE,DHDA
0,353.611,370.019,499.955,147.688,235.849,356.525
1,333.721,302.301,420.661,154.07,174.533,211.26
2,321.188,311.231,422.667,160.19,186.779,207.636
3,316.877,282.604,391.75,145.229,158.485,222.924
4,331.493,295.565,393.044,131.61,191.243,224.923
5,339.954,233.332,331.998,115.559,123.52,248.393
6,315.612,236.373,331.729,131.398,129.478,213.971
7,322,336.755,435.845,205.465,225.114,214.191
8,348.656,312.994,410.957,150.605,206.299,218.843
9,321.842,484.873,576.441,399.991,387.81,210.265
10,342.824,306.158,392.285,138.852,209.045,214.725
11,339.898,247.157,335.941,168.815,151.685,257.159
12,322.115,230.39,323.517,132.39,128.13,207.179
13,340.724,268.192,365.81,170.218,171.326,203.101
14,326.219,184.402,268.64,118.736,111.645,175.293
15,322.099,191.656,274.293,98.585,97.663,167.92
16,336.307,343.908,435.548,256.251,245.324,169.706
17,344.539,258.406,344.593,158.825,161.664,168.356
18,321.142,263.242,351.967,162.168,167.679,177.764
19,321.95,419.218,504.376,200.948,327.767,164.539
20,352.87,247.233,332.916,151.988,150.14,173.188
21,318.23,265.986,354.692,132.413,167.197,164.901
22,320.347,274.58,360.972,169.097,173.444,163.042
23,325.737,253.14,343.451,117.329,156.239,147.019
24,324.889,216.01,297.519,115.417,127.605,146.535
25,324.126,135.027,218.79,53.045,53.461,144.075
26,321.256,246.298,329.757,128.787,161.559,148.747
27,339.437,213.636,298.438,103.286,119.769,155.127
28,337.238,224.028,306.953,107.101,127.959,149.429
29,322.943,288.667,373.161,175.176,191.611,138.554
