Unnamed: 0,Re-DaL,ARF,SRP,SeMLP,BEETLE,DHDA
0,68.896,74.081,134.256,12.406,12.461,252.407
1,85.533,74.291,136.831,12.235,12.795,110.347
2,85.4,67.964,126.966,12.224,12.288,111.089
3,76.439,90.228,161.668,37.857,37.22,107.609
4,81.832,69.88,126.29,11.273,11.285,104.938
5,81.685,78.562,135.312,30.385,30.001,110.28
6,76.492,67.756,120.117,11.056,10.988,109.312
7,68.993,66.29,120.459,13.333,13.417,115.04
8,80.332,63.49,116.51,10.647,10.741,115.518
9,74.403,61.796,111.192,10.117,10.167,113.666
10,82.379,51.501,100.65,9.801,9.722,121.564
11,72.657,62.353,112.528,10.189,10.358,115.895
12,70.402,58.33,107.086,9.618,9.726,107.282
13,71.429,53.097,103.67,10.202,10.32,104.754
14,80.665,55.543,109.864,9.881,9.939,111.041
15,75.177,57.805,112.815,10.092,10.012,109.964
16,75.104,65.158,130,15.85,16.059,118.912
17,77.835,131.838,178.176,85.695,84.836,102.812
18,75.993,134.286,181.306,86.438,86.415,110.987
19,75.424,79.795,126.244,33.321,33.78,112.788
20,72.415,121.635,169.507,71.634,72.268,108.858
21,72.752,57.715,103.986,9.29,9.197,115.79
22,76.173,53.976,100.623,9.01,8.766,106.747
23,74.12,54.948,101.896,9.412,9.613,119.108
24,74.579,120.241,167.004,73.706,74.424,106.848
25,86.558,58.481,106.713,9.109,9.153,109.259
26,82.962,121.103,170.192,75.595,74.594,109.99
27,80.712,53.397,100.372,8.97,8.967,94.005
28,71.94,65.984,113.431,25.039,22.729,89.235
29,78.022,50.94,96.005,9.14,9.222,88.598
